FILENAME;PID;FILEEXTENSION;MIMETYPE;LABEL;NOTE
002894793100_A1_Allegro_moderato.mp3;14858740;mp3;audio/mpeg;A1: Allegro moderato - Allegro;002894793100 A1 Allegro moderato.mp3
002894793100_A2_Andante.mp3;14858741;mp3;audio/mpeg;A2: Andante;002894793100 A2 Andante.mp3
002894793100_A3_Allegro_molto.mp3;14858742;mp3;audio/mpeg;A3: Allegro molto;002894793100 A3 Allegro molto.mp3
002894793100_A4_Allegro.mp3;14858743;mp3;audio/mpeg;A4: Allegro;002894793100 A4 Allegro.mp3
002894793100_A5_Adagio___Presto___Piu_adagio.mp3;14858744;mp3;audio/mpeg;A5: Adagio - Presto - Piu adagio;002894793100 A5 Adagio - Presto - Piu adagio.mp3
002894793100_A6_Allegro_molto.mp3;14858745;mp3;audio/mpeg;A6: Allegro molto;002894793100 A6 Allegro molto.mp3
002894793100_A7_Allegretto.mp3;14858746;mp3;audio/mpeg;A7: Allegretto;002894793100 A7 Allegretto.mp3
002894793100_A8_Adagio_religioso.mp3;14858747;mp3;audio/mpeg;A8: Adagio religioso - Poco più mosso - Tempo I;002894793100 A8 Adagio religioso.mp3
002894793100_A9_Allegro_vivace.mp3;14858748;mp3;audio/mpeg;A9: Allegro vivace;002894793100 A9 Allegro vivace.mp3
002894793101_A10_Comodo.mp3;14858788;mp3;audio/mpeg;A10: Comodo;002894793101 A10 Comodo.mp3
002894793101_A11_Finale_Allegro.mp3;14858789;mp3;audio/mpeg;A11: Finale Allegro;002894793101 A11 Finale Allegro.mp3
002894793101_A1_Allegro_non_troppo.mp3;14858779;mp3;audio/mpeg;A1: Allegro non troppo;002894793101 A1 Allegro non troppo.mp3
002894793101_A2_Andante_tranquillo.mp3;14858780;mp3;audio/mpeg;A2: Andante tranquillo;002894793101 A2 Andante tranquillo.mp3
002894793101_A3_Allegro_molto.mp3;14858781;mp3;audio/mpeg;A3: Allegro molto;002894793101 A3 Allegro molto.mp3
002894793101_A4_Andante.mp3;14858782;mp3;audio/mpeg;A4: Andante;002894793101 A4 Andante.mp3
002894793101_A5_Presto.mp3;14858783;mp3;audio/mpeg;A5: Presto;002894793101 A5 Presto.mp3
002894793101_A6_Moderato.mp3;14858784;mp3;audio/mpeg;A6: Moderato;002894793101 A6 Moderato.mp3
002894793101_A7_Allegro_molto.mp3;14858785;mp3;audio/mpeg;A7: Allegro molto;002894793101 A7 Allegro molto.mp3
002894793101_A8_Allegro_vivace.mp3;14858786;mp3;audio/mpeg;A8: Allegro vivace;002894793101 A8 Allegro vivace.mp3
002894793101_A9_Molto_tranquillo.mp3;14858787;mp3;audio/mpeg;A9: Molto tranquillo;002894793101 A9 Molto tranquillo.mp3
002894793102_A1_Introduzione__Andante_non_troppo___Allegro_vivace.mp3;14858822;mp3;audio/mpeg;A1: Introduzione, Andante non troppo - Allegro vivace;002894793102 A1 Introduzione, Andante non troppo - Allegro vivace.mp3
002894793102_A2_Giuoco_delle_coppie__Allegretto_scherzando.mp3;14858823;mp3;audio/mpeg;A2: Giuoco delle coppie, Allegretto scherzando;002894793102 A2 Giuoco delle coppie, Allegretto scherzando.mp3
002894793102_A3_Elegia__Andante_non_troppo.mp3;14858824;mp3;audio/mpeg;A3: Elegia, Andante non troppo;002894793102 A3 Elegia, Andante non troppo.mp3
002894793102_A4_Intermezzo_interrotto__Allegretto.mp3;14858825;mp3;audio/mpeg;A4: Intermezzo interrotto, Allegretto;002894793102 A4 Intermezzo interrotto, Allegretto.mp3
002894793102_A5_Finale__Pesante___Presto.mp3;14858826;mp3;audio/mpeg;A5: Finale, Pesante - Presto;002894793102 A5 Finale, Pesante - Presto.mp3
